Tissue	kegg_pathway_ID	kegg_pathway_Name	IDs	S	B	Rich.Factor	P.value	Sig.Sign.P
Cerebellum	ko00310	Lysine degradation	C00408|PIPECOLATE, C00408|L-Pipecolic acid	2	56	0.0357	0.090567424	ns
Cerebellum	ko00195	Photosynthesis	C00002|Adenosine triphosphate	1	11	0.0909	0.095035754	ns
Cerebellum	ko04020	Calcium signaling pathway	C00002|Adenosine triphosphate	1	11	0.0909	0.095035754	ns
Cerebellum	ko04728	Dopaminergic synapse	C00082|L-Tyrosine	1	12	0.0833	0.103221644	ns
Cerebellum	ko04721	Synaptic vesicle cycle	C00002|Adenosine triphosphate	1	12	0.0833	0.103221644	ns
Cerebellum	ko04911	Insulin secretion	C00002|Adenosine triphosphate	1	12	0.0833	0.103221644	ns
Cerebellum	ko05146	Amoebiasis	C02737|PS(18:0/18:1)	1	13	0.0769	0.111334753	ns
Cerebellum	ko00240	Pyrimidine metabolism	C00475|Cytidine, C00239|2'-Deoxycytidine-5'-monophosphate	2	64	0.0312	0.113354781	ns
Cerebellum	ko04611	Platelet activation	C00002|Adenosine triphosphate	1	14	0.0714	0.119375718	ns
Cerebellum	ko01070	Biosynthesis of plant hormones	C00078|L-Tryptophan, C00267|alpha-D-Glucose	2	68	0.0294	0.125254638	ns
Cerebellum	ko04071	Sphingolipid signaling pathway	C00065|Serine	1	15	0.0667	0.127345169	ns
Cerebellum	ko04066	HIF-1 signaling pathway	C00002|Adenosine triphosphate	1	15	0.0667	0.127345169	ns
Cerebellum	ko00330	Arginine and proline metabolism	C00750|Spermine, C00077|L-Ornithine	2	69	0.029	0.128275932	ns
Cerebellum	ko00190	Oxidative phosphorylation	C00002|Adenosine triphosphate	1	16	0.0625	0.13524373	ns
Cerebellum	ko04270	Vascular smooth muscle contraction	C14748|20-HETE	1	16	0.0625	0.13524373	ns
Cerebellum	ko04924	Renin secretion	C00002|Adenosine triphosphate	1	17	0.0588	0.143072021	ns
Cerebellum	ko04964	Proximal tubule bicarbonate reclamation	C00267|alpha-D-Glucose	1	17	0.0588	0.143072021	ns
Cerebellum	ko00966	Glucosinolate biosynthesis	C00082|L-Tyrosine, C00078|L-Tryptophan	2	77	0.026	0.153028263	ns
Cerebellum	ko01055	Biosynthesis of vancomycin group antibiotics	C00082|L-Tyrosine	1	19	0.0526	0.158520247	ns
Cerebellum	ko00901	Indole alkaloid biosynthesis	C00078|L-Tryptophan, C00398|Tryptamine	2	81	0.0247	0.165739133	ns
Cerebellum	ko00680	Methane metabolism	C00082|L-Tyrosine, C00065|Serine	2	88	0.0227	0.188404315	ns
Cerebellum	ko00965	Betalain biosynthesis	C00082|L-Tyrosine	1	23	0.0435	0.18860014	ns
Cerebellum	ko04714	Thermogenesis	C00002|Adenosine triphosphate	1	23	0.0435	0.18860014	ns
Cerebellum	ko01502	Vancomycin resistance	C00065|Serine	1	24	0.0417	0.195953451	ns
Cerebellum	ko00430	Taurine and hypotaurine metabolism	C00519|Hypotaurine	1	24	0.0417	0.195953451	ns
Cerebellum	ko00750	Vitamin B6 metabolism	C06050|2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate	1	29	0.0345	0.23174889	ns
Cerebellum	ko00770	Pantothenate and CoA biosynthesis	C00750|Spermine	1	30	0.0333	0.238717699	ns
Cerebellum	ko00010	Glycolysis / Gluconeogenesis	C00267|alpha-D-Glucose	1	31	0.0323	0.245624374	ns
Cerebellum	ko01061	Biosynthesis of phenylpropanoids	C00078|L-Tryptophan, C00267|alpha-D-Glucose	2	106	0.0189	0.248252517	ns
Cerebellum	ko00401	Novobiocin biosynthesis	C00082|L-Tyrosine	1	32	0.0312	0.252469459	ns
Cerebellum	ko04742	Taste transduction	C00002|Adenosine triphosphate	1	32	0.0312	0.252469459	ns
Cerebellum	ko05022	Pathways of neurodegeneration - multiple diseases	C00002|Adenosine triphosphate	1	32	0.0312	0.252469459	ns
Cerebellum	ko00920	Sulfur metabolism	C00065|Serine	1	33	0.0303	0.259253495	ns
Cerebellum	ko04750	Inflammatory mediator regulation of TRP channels	C00002|Adenosine triphosphate	1	35	0.0286	0.272640552	ns
Cerebellum	ko01065	Biosynthesis of alkaloids derived from histidine and purine	C00267|alpha-D-Glucose	1	35	0.0286	0.272640552	ns
Cerebellum	ko01200	Carbon metabolism	C00065|Serine, C00267|alpha-D-Glucose	2	114	0.0175	0.275169703	ns
Cerebellum	ko00908	Zeatin biosynthesis	C00002|Adenosine triphosphate	1	39	0.0256	0.298705301	ns
Cerebellum	ko05415	Diabetic cardiomyopathy	C00002|Adenosine triphosphate	1	39	0.0256	0.298705301	ns
Cerebellum	ko00946	Degradation of flavonoids	C01514|Luteolin	1	40	0.025	0.305076713	ns
Cerebellum	ko04726	Serotonergic synapse	C00078|L-Tryptophan	1	42	0.0238	0.317649346	ns
Cerebellum	ko00052	Galactose metabolism	C00267|alpha-D-Glucose	1	46	0.0217	0.342127681	ns
Cerebellum	ko00404	Staurosporine biosynthesis	C00078|L-Tryptophan	1	48	0.0208	0.354041132	ns
Cerebellum	ko01066	Biosynthesis of alkaloids derived from terpenoid and polyketide	C00267|alpha-D-Glucose	1	48	0.0208	0.354041132	ns
Cerebellum	ko00360	Phenylalanine metabolism	C00082|L-Tyrosine	1	49	0.0204	0.359918091	ns
Cerebellum	ko00944	Flavone and flavonol biosynthesis	C01514|Luteolin	1	51	0.0196	0.371514805	ns
Cerebellum	ko00999	Biosynthesis of various plant secondary metabolites	C00082|L-Tyrosine, C00078|L-Tryptophan	2	149	0.0134	0.391135624	ns
Cerebellum	ko00051	Fructose and mannose metabolism	C00267|alpha-D-Glucose	1	55	0.0182	0.394092211	ns
Cerebellum	ko00100	Steroid biosynthesis	C01802|DESMOSTEROL	1	57	0.0175	0.405080071	ns
Cerebellum	ko00053	Ascorbate and aldarate metabolism	C15923|Gulose	1	57	0.0175	0.405080071	ns
Cerebellum	ko00940	Phenylpropanoid biosynthesis	C00082|L-Tyrosine	1	58	0.0172	0.410500328	ns
Cerebellum	ko00523	Polyketide sugar unit biosynthesis	C11918|LARIXINIC ACID	1	58	0.0172	0.410500328	ns
Cerebellum	ko01059	Biosynthesis of enediyne antibiotics	C00082|L-Tyrosine	1	63	0.0159	0.436882006	ns
Cerebellum	ko00630	Glyoxylate and dicarboxylate metabolism	C00065|Serine	1	64	0.0156	0.442017359	ns
Cerebellum	ko00270	Cysteine and methionine metabolism	C00065|Serine	1	67	0.0149	0.457148846	ns
Cerebellum	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	C00082|L-Tyrosine	1	71	0.0141	0.476698403	ns
Cerebellum	ko00941	Flavonoid biosynthesis	C01514|Luteolin	1	74	0.0135	0.4909049	ns
Cerebellum	ko00996	Biosynthesis of various alkaloids	C00078|L-Tryptophan	1	76	0.0132	0.50016461	ns
Cerebellum	ko00350	Tyrosine metabolism	C00082|L-Tyrosine	1	78	0.0128	0.509258751	ns
Cerebellum	ko00361	Chlorocyclohexane and chlorobenzene degradation	C07088|4-Chlorophenoxyacetic acid	1	83	0.012	0.531288709	ns
Cerebellum	ko00627	Aminobenzoate degradation	C00632|3-HYDROXYANTHRANILATE	1	86	0.0116	0.544037065	ns
Cerebellum	ko04976	Bile secretion	C00750|Spermine	1	97	0.0103	0.587931687	ns
Cerebellum	ko01062	Biosynthesis of terpenoids and steroids	C00267|alpha-D-Glucose	1	98	0.0102	0.59170974	ns
Cerebellum	ko00140	Steroid hormone biosynthesis	C18043|Cholesterol sulfate	1	99	0.0101	0.595453746	ns
Cerebellum	ko01120	Microbial metabolism in diverse environments	C00408|PIPECOLATE, C00065|Serine, C00408|L-Pipecolic acid, C06231|Ectoine, C00267|alpha-D-Glucose, C02350|Allantoin, C00632|3-HYDROXYANTHRANILATE, C07088|4-Chlorophenoxyacetic acid, C06050|2-Methyl-3-hydroxy-5-formylpyridine-4-carboxylate	9	1072	0.0084	0.64954774	ns
Cerebellum	ko00520	Amino sugar and nucleotide sugar metabolism	C00267|alpha-D-Glucose	1	118	0.0085	0.660506606	ns
Cerebellum	ko00904	Diterpenoid biosynthesis	C09183|sclareol	1	124	0.0081	0.678826119	ns
Cerebellum	ko00950	Isoquinoline alkaloid biosynthesis	C00082|L-Tyrosine	1	131	0.0076	0.698973468	ns
Cerebellum	ko01250	Biosynthesis of nucleotide sugars	C00267|alpha-D-Glucose	1	200	0.005	0.841665724	ns
Cerebellum	ko01220	Degradation of aromatic compounds	C07088|4-Chlorophenoxyacetic acid	1	263	0.0038	0.912485381	ns
Colon	ko05231	Choline metabolism in cancer	C00307|Cytidine 5'-diphosphocholine, C04230|PC(14:0/0:0), C04230|LysoPC(20:2(11Z,14Z)/0:0), C00157|PC(18:1(9Z)/18:1(11Z)), C00157|PC(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)), C04230|LysoPC(18:1(11Z)/0:0), C00157|PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00157|PC(20:4(8Z,11Z,14Z,17Z)/18:1(11Z)), C04230|PC(15:0/0:0), C00157|PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00157|PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)), C00157|PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))	12	11	1.0909	0	****
Colon	ko00564	Glycerophospholipid metabolism	C00307|Cytidine 5'-diphosphocholine, C01233|Glycerylphosphorylethanolamine, C00065|Serine, C04230|PC(14:0/0:0), C01996|Acetylcholine, C00350|PE(16:0/18:2), C04230|LysoPC(20:2(11Z,14Z)/0:0), C00350|PE(20:4(5Z,8Z,11Z,14Z)/16:0), C00350|PE(P-16:0/22:6), C00157|PC(18:1(9Z)/18:1(11Z)), C00157|PC(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)), C04230|LysoPC(18:1(11Z)/0:0), C00157|PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00157|PC(20:4(8Z,11Z,14Z,17Z)/18:1(11Z)), C04230|PC(15:0/0:0), C00157|PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00157|PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)), C00157|PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))	18	56	0.3214	2.12E-27	****
Colon	ko04723	Retrograde endocannabinoid signaling	C00350|PE(16:0/18:2), C00350|PE(20:4(5Z,8Z,11Z,14Z)/16:0), C00350|PE(P-16:0/22:6), C00157|PC(18:1(9Z)/18:1(11Z)), C00157|PC(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)), C00157|PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00157|PC(20:4(8Z,11Z,14Z,17Z)/18:1(11Z)), C00157|PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00157|PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)), C00157|PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))	10	19	0.5263	5.19E-18	****
Colon	ko00591	Linoleic acid metabolism	C00157|PC(18:1(9Z)/18:1(11Z)), C00157|PC(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)), C00157|PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00157|PC(20:4(8Z,11Z,14Z,17Z)/18:1(11Z)), C00157|PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00157|PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)), C00157|PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))	7	28	0.25	3.86E-10	****
Colon	ko04148	Efferocytosis	C04230|PC(14:0/0:0), C00062|L-Arginine, C04230|LysoPC(20:2(11Z,14Z)/0:0), C04230|LysoPC(18:1(11Z)/0:0), C04230|PC(15:0/0:0), C00584|Prostaglandin E2	6	18	0.3333	1.10E-09	****
Colon	ko00592	alpha-Linolenic acid metabolism	C00157|PC(18:1(9Z)/18:1(11Z)), C00157|PC(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)), C00157|PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00157|PC(20:4(8Z,11Z,14Z,17Z)/18:1(11Z)), C00157|PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00157|PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)), C00157|PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))	7	44	0.1591	1.15E-08	****
Colon	ko00590	Arachidonic acid metabolism	C00157|PC(18:1(9Z)/18:1(11Z)), C00157|PC(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)), C00157|PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00157|PC(20:4(8Z,11Z,14Z,17Z)/18:1(11Z)), C00157|PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00157|PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)), C00584|Prostaglandin E2, C00157|PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))	8	79	0.1013	3.74E-08	****
Colon	ko04136	Autophagy - other	C00350|PE(16:0/18:2), C00350|PE(20:4(5Z,8Z,11Z,14Z)/16:0), C00350|PE(P-16:0/22:6)	3	3	1	2.80E-07	****
Colon	ko04138	Autophagy - yeast	C00350|PE(16:0/18:2), C00350|PE(20:4(5Z,8Z,11Z,14Z)/16:0), C00350|PE(P-16:0/22:6)	3	3	1	2.80E-07	****
Colon	ko05130	Pathogenic Escherichia coli infection	C00350|PE(16:0/18:2), C00350|PE(20:4(5Z,8Z,11Z,14Z)/16:0), C00350|PE(P-16:0/22:6)	3	3	1	2.80E-07	****
Colon	ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	C00350|PE(16:0/18:2), C00350|PE(20:4(5Z,8Z,11Z,14Z)/16:0), C00350|PE(P-16:0/22:6)	3	4	0.75	1.11E-06	****
Colon	ko05167	Kaposi sarcoma-associated herpesvirus infection	C00350|PE(16:0/18:2), C00350|PE(20:4(5Z,8Z,11Z,14Z)/16:0), C00350|PE(P-16:0/22:6)	3	5	0.6	2.77E-06	****
Colon	ko04140	Autophagy - animal	C00350|PE(16:0/18:2), C00350|PE(20:4(5Z,8Z,11Z,14Z)/16:0), C00350|PE(P-16:0/22:6)	3	6	0.5	5.51E-06	****
