Module	Tissue	mean_Aged	mean_Young	FC	pvalue
PM21	Cerebellum	0.149599441	0.146706291	1.019720695	0.141635187
PM21	Colon	-0.002839586	-0.003718454	0.763646816	0.82129743
PM21	Eye	-0.047245419	-0.047964846	0.985000953	0.775547044
PM21	Heart	-0.05188475	-0.052290613	0.99223832	0.796304828
PM21	Kidney	0.197656151	0.20381062	0.969802999	0.423071293
PM21	Liver	0.008777263	0.008436699	1.040366974	0.856516895
PM21	Lung	-0.02555359	-0.027625228	0.925009188	0.613312898
PM21	Muscle	-0.069852068	-0.072179847	0.967750288	0.120738349
PM21	Pancrea	-0.047140978	-0.047678822	0.988719431	0.68095692
PM21	Skin	-0.057357048	-0.056891175	1.00818884	0.325039155
PM21	Small int	0.002406328	0.012524085	0.192136032	0.045704828
PM21	Spinal cord	0.188260884	0.19927265	0.944740205	0.082878869
PM21	Spleen	-0.040413466	-0.04142623	0.975552585	0.428283767
PM21	Testis	-0.021844985	-0.021390413	1.021251215	0.883697027
PM21	Thymus	-0.020597566	-0.025105324	0.82044613	0.162196997
PM21	WAT	-0.023570232	-0.023213861	1.015351615	0.737314128
PM22	BAT	0.030497139	0.041140346	0.741295145	0.074328585
PM22	Beige fat	-0.048205541	-0.03043443	1.583914695	0.001586021
PM22	Bladder	-0.04579798	-0.03695683	1.239229117	0.067636703
PM22	Bone	-0.0567603	-0.070016786	0.81066703	0.094165289
PM22	Brain	-0.050406957	-0.048771579	1.033531378	0.605011911
PM22	Cerebellum	-0.054450002	-0.051681055	1.053577603	0.155381391
PM22	Colon	-0.030062185	-0.028478828	1.055597697	0.780724634
PM22	Eye	0.123463821	0.236648378	0.521718435	0.014791063
PM22	Heart	0.145230789	0.145687683	0.99686388	0.956627753
PM22	Kidney	-0.035866136	-0.0256906	1.396080117	0.22322928
PM22	Liver	0.00539137	0.02246638	0.239975037	0.01018874
PM22	Lung	-0.04141209	-0.041638419	0.994564413	0.917347603
PM22	Muscle	0.084071818	0.114366695	0.735107526	0.032040659
PM22	Pancrea	0.155782031	0.158993976	0.979798321	0.725888469
PM22	Skin	-0.051675487	-0.033307142	1.551483677	0.016949512
PM22	Small int	-0.024318787	-0.04415607	0.550746189	0.145778585
PM22	Spinal cord	-0.057774943	-0.048279147	1.19668526	0.015021137
PM22	Spleen	-0.059923499	-0.06822206	0.878359569	0.06422125
PM22	Testis	-0.050619115	-0.049845983	1.015510417	0.808216217
PM22	Thymus	-0.026179772	-0.012988043	2.015682578	0.328776699
PM22	WAT	-0.027105722	-0.012714944	2.131800283	0.002006966
PM23	BAT	-0.035388105	-0.033007401	1.072126371	0.367062721
PM23	Beige fat	-0.000197125	0.004475061	-0.04404974	0.473189131
PM23	Bladder	-0.011558789	-0.012346185	0.936223558	0.722677933
PM23	Bone	0.322419233	0.294559785	1.094579946	0.259648363
PM23	Brain	0.035911025	0.018146873	1.978909823	0.039148935
PM23	Cerebellum	-0.044710887	-0.046146443	0.968891307	0.015694508
PM23	Colon	-0.013116025	-0.00828445	1.583210158	0.055942469
PM23	Eye	-0.03993814	-0.042102731	0.948587866	0.385344224
PM23	Heart	-0.037700062	-0.039294369	0.959426578	0.221810535
PM23	Kidney	-0.03396052	-0.044253324	0.767411725	0.010746939
PM23	Liver	-0.01685086	-0.02241944	0.75161823	0.001630233
PM23	Lung	0.069147565	0.046569286	1.484831977	0.026673087
PM23	Muscle	-0.056221062	-0.063273284	0.888543449	0.04115739
PM23	Pancrea	-0.047512547	-0.047781026	0.994381054	0.818113761
PM23	Skin	-0.006195587	-0.008905122	0.695732897	0.171325079
PM23	Small int	-0.012582121	-0.005372956	2.341750348	0.079976196
PM23	Spinal cord	-0.049623517	-0.057409471	0.864378576	0.041575755
PM23	Spleen	0.079886331	0.067574234	1.182201055	0.003240835
PM23	Testis	-0.032981003	-0.031192786	1.057327902	0.604926712
PM23	Thymus	-0.003439593	-0.003750245	0.917164684	0.953862818
PM23	WAT	-0.007744781	-0.023429438	0.330557687	0.003086183
PM24	BAT	0.202668599	0.172098744	1.177629743	0.083027188
PM24	Beige fat	-0.011197163	-0.025364692	0.441446825	0.329154671
PM24	Bladder	-0.004386017	-0.006674051	0.657174606	0.344781297
PM24	Bone	-0.024037392	-0.01406888	1.708550473	0.159955313
PM24	Brain	-0.057633191	-0.063445769	0.908385089	0.09897948
PM24	Cerebellum	-0.012185255	-0.014738047	0.826788985	0.161306899
PM24	Colon	-0.050404728	-0.053239299	0.946757915	0.282113745
PM24	Eye	0.219501169	0.162363347	1.351913306	0.000258981
PM24	Heart	-0.052328078	-0.054363648	0.962556404	0.319019557
PM24	Kidney	0.090047655	0.096022046	0.937781051	0.108930274
PM24	Liver	0.025252689	0.025858122	0.976586351	0.818372286
PM24	Lung	-0.052383247	-0.059266578	0.883858129	0.136062311
PM24	Muscle	0.108510203	0.093482444	1.160754888	0.428437911
PM24	Pancrea	-0.06876832	-0.067790224	1.014428283	0.117107827
PM24	Skin	-0.037168138	-0.045388664	0.818885927	0.006913549
PM24	Small int	-0.039679874	-0.034548962	1.148511331	0.24815821
PM24	Spinal cord	0.001822594	-0.003420337	-0.532869865	0.189988722
PM24	Spleen	-0.066313448	-0.072519259	0.914425339	0.007155995
PM24	Testis	-0.053810344	-0.052857622	1.018024307	0.740681822
PM24	Thymus	-0.021879742	-0.063387438	0.345174727	0.079291032
PM24	WAT	-0.01590247	0.00152326	-10.43976061	4.39213E-05
PM3	BAT	-0.068384258	-0.068325847	1.000854896	0.963583901
PM3	Beige fat	-0.008864722	0.01291764	-0.686249327	0.08664818
PM3	Bladder	-0.015471025	-0.012432089	1.244442929	0.307523564
PM3	Bone	-0.005894332	-0.014466035	0.407460095	0.205714944
PM3	Brain	-0.023444156	-0.022259413	1.053224336	0.773233876
PM3	Cerebellum	0.026937868	0.031651024	0.851089914	0.147678263
